EMP_NO,BIRTH_DATE,FIRST_NAME,LAST_NAME,GENDER,HIRE_DATE,CONTACT
10248,9/24/1955,Frederique,Tempesti,F,8/13/1991,+8801652325266
10249,6/10/1954,Marie,Boreale,M,12/8/1991,+8801652325266
10250,8/12/1958,Serap,Etalle,M,8/30/1992,+8801652325266
10001,9/2/1953,Georgi,Facello,M,6/26/1986,+8801652325266
10002,6/2/1964,Bezalel,Simmel,F,11/21/1985,+8801652325266
10003,12/3/1959,Parto,Bamford,M,8/28/1986,+8801652325266
10004,5/1/1954,Chirstian,Koblick,M,12/1/1986,+8801652325266
10005,1/21/1955,Kyoichi,Maliniak,M,9/12/1989,+8801652325266
10006,4/20/1953,Anneke,Preusig,F,6/2/1989,+8801652325266
10007,5/23/1957,Tzvetan,Zielinski,F,2/10/1989,+8801652325266
10008,2/19/1958,Saniya,Kalloufi,M,9/15/1994,+8801652325266
10009,4/19/1952,Sumant,Peac,F,2/18/1985,+8801652325266
10010,6/1/1963,Duangkaew,Piveteau,F,8/24/1989,+8801652325266
10011,11/7/1953,Mary,Sluis,F,1/22/1990,+8801652325266
10012,10/4/1960,Patricio,Bridgland,M,12/18/1992,+8801652325266
10013,6/7/1963,Eberhardt,Terkki,M,10/20/1985,+8801652325266
10014,2/12/1956,Berni,Genin,M,3/11/1987,+8801652325266
10015,8/19/1959,Guoxiang,Nooteboom,M,7/2/1987,+8801652325266
10016,5/2/1961,Kazuhito,Cappelletti,M,1/27/1995,+8801652325266
10017,7/6/1958,Cristinel,Bouloucos,F,8/3/1993,+8801652325266
10018,6/19/1954,Kazuhide,Peha,F,4/3/1987,+8801652325266
10019,1/23/1953,Lillian,Haddadi,M,4/30/1999,+8801652325266
10020,12/24/1952,Mayuko,Warwick,M,1/26/1991,+8801652325266
10021,2/20/1960,Ramzi,Erde,M,2/10/1988,+8801652325266
10022,7/8/1952,Shahaf,Famili,M,8/22/1995,+8801652325266
10023,9/29/1953,Bojan,Montemayor,F,12/17/1989,+8801652325266
10024,9/5/1958,Suzette,Pettey,F,5/19/1997,+8801652325266
